Category,Tag,Repository,Stars,Language,Link,Description (EN),Description (RU)
LOW_LEVEL,assembly,cpplinks,5220,Multi,https://github.com/MattPD/cpplinks, A categorized list of C++ resources.,Классифицированный список ресурсов C++.
LOW_LEVEL,kernel,build,5189,Shell,https://github.com/armbian/build,"The official build framework for the Armbian Linux distribution. This repository contains the complete toolchain and scripts required to compile custom OS images from source, including kernel configuration, U-Boot handling, and board-specific tweaks for various ARM and ARM64 single-board computers.","Официальная платформа сборки для дистрибутива Armbian Linux. Этот репозиторий содержит полную цепочку инструментов и сценарии, необходимые для компиляции пользовательских образов ОС из исходного кода, включая конфигурацию ядра, обработку U-Boot и настройки для конкретных плат для различных одноплатных компьютеров ARM и ARM64."
LOW_LEVEL,embedded,stlink,5024,C,https://github.com/stlink-org/stlink,Open source STM32 MCU programming toolset,Набор инструментов для программирования микроконтроллеров STM32 с открытым исходным кодом
LOW_LEVEL,embedded,blinker-library,4987,C++,https://github.com/blinker-iot/blinker-library,"An IoT Solution,Blinker library for embedded hardware. Works with Arduino R4, ESP32.","Решение IoT, библиотека Blinker для встраиваемого оборудования. Работает с Arduino R4, ESP32."
LOW_LEVEL,assembly,HelloSilicon,4933,Assembly,https://github.com/below/HelloSilicon,An introduction to ARM64 assembly on Apple Silicon Macs,Введение в сборку ARM64 на компьютерах Apple Silicon Mac
LOW_LEVEL,os,Ready-For-Tech-Interview,4929,Multi,https://github.com/WooVictory/Ready-For-Tech-Interview,💻 신입 개발자로서 지식을 쌓기 위해 공부하는 공간 👨‍💻,💻 Пространство для обучения и накопления знаний в качестве нового разработчика 👨‍💻
LOW_LEVEL,embedded,rosedb,4882,Go,https://github.com/rosedblabs/rosedb,"Lightweight, fast and reliable key/value storage engine based on Bitcask.","Легкий, быстрый и надежный механизм хранения ключей/значений на основе Bitcask."
UAV,drone,ExpressLRS,4840,C,https://github.com/ExpressLRS/ExpressLRS,High Performance Open Source Radio Control Link,Высокопроизводительная линия радиоуправления с открытым исходным кодом
LOW_LEVEL,os,awesome-programming-books,4839,Multi,https://github.com/royeo/awesome-programming-books,📚 经典技术书籍推荐，持续更新...,"📚 Рекомендуемые классические технические книги, постоянно обновляемые..."
ROBOTICS,robot,agent,4760,PHP,https://github.com/jenssegers/agent,"👮 A PHP desktop/mobile user agent parser with support for Laravel, based on Mobiledetect",👮 Парсер пользовательского агента PHP для настольных и мобильных устройств с поддержкой Laravel на основе Mobiledetect.
ROBOTICS,robotics,OpenCat-Quadruped-Robot,4718,C++,https://github.com/PetoiCamp/OpenCat-Quadruped-Robot,"An open source quadruped robot pet framework for developing Boston Dynamics-style four-legged robots that are perfect for STEM, coding & robotics education, IoT robotics applications, AI-enhanced robotics application services, research, and DIY robotics kit development. ","Платформа для четвероногих роботов с открытым исходным кодом для разработки четвероногих роботов в стиле Boston Dynamics, которые идеально подходят для STEM, обучения программированию и робототехнике, приложений для робототехники IoT, услуг приложений для робототехники с улучшенным искусственным интеллектом, исследований и разработки наборов для робототехники своими руками."
