Дата,Категория,Имя Инструмента,Архитектура (Технологии),Описание Применения
2026-04-05 11:30:04,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,THREE.JS + THE-BOOK-OF-SECRET-KNOWLEDGE,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [THREE.JS] + [THE-BOOK-OF-SECRET-KNOWLEDGE]."
2026-04-05 11:30:04,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-MACHINE-LEARNING + BUILD-YOUR-OWN-X,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-MACHINE-LEARNING] и [BUILD-YOUR-OWN-X].
2026-04-05 11:31:07,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,COMPUTER-SCIENCE + AWESOME-CPP,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [COMPUTER-SCIENCE] + [AWESOME-CPP].
2026-04-05 11:31:07,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,GITIGNORE + FREECODECAMP,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [GITIGNORE] + [FREECODECAMP]."
2026-04-05 11:31:07,OSINT + LEGAL,OSINT-LEGAL-CoreX,PAPERS-WE-LOVE + 996.ICU,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [PAPERS-WE-LOVE] и [996.ICU].
2026-04-05 11:32:08,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,HOPPSCOTCH + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [HOPPSCOTCH] + [PAPERS-WE-LOVE].
2026-04-05 11:32:08,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,AWESOME-CPP + ADVANCED-JAVA,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [AWESOME-CPP] + [ADVANCED-JAVA]."
2026-04-05 11:32:08,OSINT + LEGAL,OSINT-LEGAL-CoreX,AGENCY-AGENTS + MATERIAL-UI,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AGENCY-AGENTS] и [MATERIAL-UI].
2026-04-05 11:33:10,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,PUPPETEER + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [PUPPETEER] + [PAPERS-WE-LOVE].
2026-04-05 11:33:10,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,ANIME + EXPRESS,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [ANIME] + [EXPRESS]."
2026-04-05 11:33:10,OSINT + LEGAL,OSINT-LEGAL-CoreX,SUPERSET + CLAUDE-CODE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [SUPERSET] и [CLAUDE-CODE].
2026-04-05 11:34:12,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,ACT + SUPERSET,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [ACT] + [SUPERSET].
2026-04-05 11:34:12,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,AWESOME-HACKING + JAVASCRIPT,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [AWESOME-HACKING] + [JAVASCRIPT]."
2026-04-05 11:34:12,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-CPP + TESSERACT,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-CPP] и [TESSERACT].
2026-04-05 11:35:14,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,RAGFLOW + AWESOME-CPP,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [RAGFLOW] + [AWESOME-CPP].
2026-04-05 11:35:14,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,MERMAID + PAPERS-WE-LOVE,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [MERMAID] + [PAPERS-WE-LOVE]."
2026-04-05 11:35:14,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-COURSES + VUE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-COURSES] и [VUE].
2026-04-05 11:36:16,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,NVM + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [NVM] + [PAPERS-WE-LOVE].
2026-04-05 11:36:16,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,UNION + VENTOY,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [UNION] + [VENTOY]."
2026-04-05 11:36:16,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + TESSERACT,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [TESSERACT].
2026-04-05 11:37:17,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,VENTOY + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [VENTOY] + [PAPERS-WE-LOVE].
2026-04-05 11:37:17,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,SERVERS + UI,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [SERVERS] + [UI]."
2026-04-05 11:37:17,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + SYNCTHING,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [SYNCTHING].
2026-04-05 11:38:20,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,AWESOME + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [AWESOME] + [PAPERS-WE-LOVE].
2026-04-05 11:38:20,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,YT-DLP + TESSERACT,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [YT-DLP] + [TESSERACT]."
2026-04-05 11:38:20,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-CPP + LARAVEL,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-CPP] и [LARAVEL].
2026-04-05 11:39:22,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,DEEPSEEK-R1 + AGENCY-AGENTS,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [DEEPSEEK-R1] + [AGENCY-AGENTS].
2026-04-05 11:39:22,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,AWESOME-HACKING + SYNCTHING,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [AWESOME-HACKING] + [SYNCTHING]."
2026-04-05 11:39:22,OSINT + LEGAL,OSINT-LEGAL-CoreX,AGENCY-AGENTS + ELECTRON,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AGENCY-AGENTS] и [ELECTRON].
2026-04-05 11:40:24,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,VUE-ELEMENT-ADMIN + AGENCY-AGENTS,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [VUE-ELEMENT-ADMIN] + [AGENCY-AGENTS].
2026-04-05 11:40:24,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,ANIMATE.CSS + DEEPSEEK-V3,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [ANIMATE.CSS] + [DEEPSEEK-V3]."
2026-04-05 11:40:24,OSINT + LEGAL,OSINT-LEGAL-CoreX,AGENCY-AGENTS + AGENCY-AGENTS,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AGENCY-AGENTS] и [AGENCY-AGENTS].
2026-04-05 11:41:26,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,CLASH-VERGE-REV + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [CLASH-VERGE-REV] + [PAPERS-WE-LOVE].
2026-04-05 11:41:26,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,SPEC-KIT + VUE,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [SPEC-KIT] + [VUE]."
2026-04-05 11:41:26,OSINT + LEGAL,OSINT-LEGAL-CoreX,AGENCY-AGENTS + IMMICH,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AGENCY-AGENTS] и [IMMICH].
2026-04-05 11:42:28,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,REALWORLD + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [REALWORLD] + [PAPERS-WE-LOVE].
2026-04-05 11:42:28,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,CLAUDE-CODE + ANIMATE.CSS,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [CLAUDE-CODE] + [ANIMATE.CSS]."
2026-04-05 11:42:28,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-MACHINE-LEARNING + RAGFLOW,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-MACHINE-LEARNING] и [RAGFLOW].
2026-04-05 11:43:30,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,HOPPSCOTCH + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [HOPPSCOTCH] + [WHISPER].
2026-04-05 11:43:30,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,LLMS-FROM-SCRATCH + STIRLING-PDF,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [LLMS-FROM-SCRATCH] + [STIRLING-PDF]."
2026-04-05 11:43:30,OSINT + LEGAL,OSINT-LEGAL-CoreX,AGENCY-AGENTS + MATERIAL-UI,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AGENCY-AGENTS] и [MATERIAL-UI].
2026-04-05 11:44:32,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,PROFESSIONAL-PROGRAMMING + AWESOME-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [PROFESSIONAL-PROGRAMMING] + [AWESOME-COURSES].
2026-04-05 11:44:32,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,996.ICU + NODE,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [996.ICU] + [NODE]."
2026-04-05 11:44:32,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-CPP + TESSERACT,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-CPP] и [TESSERACT].
2026-04-05 11:45:34,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,CS-VIDEO-COURSES + CS-VIDEO-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [CS-VIDEO-COURSES] + [CS-VIDEO-COURSES].
2026-04-05 11:45:34,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,CODING-INTERVIEW-UNIVERSITY + AGENCY-AGENTS,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [CODING-INTERVIEW-UNIVERSITY] + [AGENCY-AGENTS]."
2026-04-05 11:45:34,OSINT + LEGAL,OSINT-LEGAL-CoreX,SUPERSET + ELECTRON,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [SUPERSET] и [ELECTRON].
2026-04-05 11:46:35,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,CLASH-VERGE-REV + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [CLASH-VERGE-REV] + [WHISPER].
2026-04-05 11:46:35,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,HUGO + VENTOY,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [HUGO] + [VENTOY]."
2026-04-05 11:46:35,OSINT + LEGAL,OSINT-LEGAL-CoreX,SUPERSET + VUE-ELEMENT-ADMIN,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [SUPERSET] и [VUE-ELEMENT-ADMIN].
2026-04-05 11:47:37,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,VUE + WHISPER,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [VUE] + [WHISPER].
2026-04-05 11:47:37,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,YOUTUBE-DL + ADVANCED-JAVA,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [YOUTUBE-DL] + [ADVANCED-JAVA]."
2026-04-05 11:47:37,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-MACHINE-LEARNING + SPEC-KIT,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-MACHINE-LEARNING] и [SPEC-KIT].
2026-04-05 11:48:39,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,AWESOME-INTERVIEW-QUESTIONS + AWESOME-CPP,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [AWESOME-INTERVIEW-QUESTIONS] + [AWESOME-CPP].
2026-04-05 11:48:39,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,AWESOME-INTERVIEW-QUESTIONS + ANIMATE.CSS,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [AWESOME-INTERVIEW-QUESTIONS] + [ANIMATE.CSS]."
2026-04-05 11:48:39,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + TAURI,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [TAURI].
2026-04-05 11:49:41,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,BROWSER-USE + AGENCY-AGENTS,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [BROWSER-USE] + [AGENCY-AGENTS].
2026-04-05 11:49:41,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,AWESOME-CPP + BOOTSTRAP,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [AWESOME-CPP] + [BOOTSTRAP]."
2026-04-05 11:49:41,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + UNION,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [UNION].
2026-04-05 11:50:43,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,SYSTEM-PROMPTS-AND-MODELS-OF-AI-TOOLS + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [SYSTEM-PROMPTS-AND-MODELS-OF-AI-TOOLS] + [PAPERS-WE-LOVE].
2026-04-05 11:50:43,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,CS-NOTES + MATERIAL-UI,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [CS-NOTES] + [MATERIAL-UI]."
2026-04-05 11:50:43,OSINT + LEGAL,OSINT-LEGAL-CoreX,SUPERSET + GITHUB-CHINESE-TOP-CHARTS,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [SUPERSET] и [GITHUB-CHINESE-TOP-CHARTS].
2026-04-05 11:51:44,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,AWESOME-PYTHON + AWESOME-CPP,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [AWESOME-PYTHON] + [AWESOME-CPP].
2026-04-05 11:51:44,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,RAGFLOW + FZF,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [RAGFLOW] + [FZF]."
2026-04-05 11:51:44,OSINT + LEGAL,OSINT-LEGAL-CoreX,CRAWL4AI + GPT_ACADEMIC,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CRAWL4AI] и [GPT_ACADEMIC].
2026-04-05 11:52:46,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,ANIME + AWESOME-MACHINE-LEARNING,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [ANIME] + [AWESOME-MACHINE-LEARNING].
2026-04-05 11:52:46,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,SUPERSET + UNION,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [SUPERSET] + [UNION]."
2026-04-05 11:52:46,OSINT + LEGAL,OSINT-LEGAL-CoreX,CRAWL4AI + THEFUCK,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CRAWL4AI] и [THEFUCK].
2026-04-05 11:53:48,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,SYNCTHING + AWESOME-CPP,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [SYNCTHING] + [AWESOME-CPP].
2026-04-05 11:53:48,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,TAURI + JAVASCRIPT,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [TAURI] + [JAVASCRIPT]."
2026-04-05 11:53:48,OSINT + LEGAL,OSINT-LEGAL-CoreX,AGENCY-AGENTS + UI,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AGENCY-AGENTS] и [UI].
2026-04-05 11:54:51,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,THE-ART-OF-COMMAND-LINE + CS-VIDEO-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [THE-ART-OF-COMMAND-LINE] + [CS-VIDEO-COURSES].
2026-04-05 11:54:51,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,PADDLEOCR + OPENCLAW,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [PADDLEOCR] + [OPENCLAW]."
2026-04-05 11:54:51,OSINT + LEGAL,OSINT-LEGAL-CoreX,CS-VIDEO-COURSES + AWESOME-INTERVIEW-QUESTIONS,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CS-VIDEO-COURSES] и [AWESOME-INTERVIEW-QUESTIONS].
2026-04-05 11:55:52,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,EVERY-PROGRAMMER-SHOULD-KNOW + AWESOME-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [EVERY-PROGRAMMER-SHOULD-KNOW] + [AWESOME-COURSES].
2026-04-05 11:55:52,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,BOOTSTRAP + UV,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [BOOTSTRAP] + [UV]."
2026-04-05 11:55:52,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-MACHINE-LEARNING + OPEN-INTERPRETER,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-MACHINE-LEARNING] и [OPEN-INTERPRETER].
2026-04-05 11:56:54,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,SYSTEM-PROMPTS-AND-MODELS-OF-AI-TOOLS + CS-VIDEO-COURSES,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [SYSTEM-PROMPTS-AND-MODELS-OF-AI-TOOLS] + [CS-VIDEO-COURSES].
2026-04-05 11:56:54,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,YOUTUBE-DL + SOCKET.IO,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [YOUTUBE-DL] + [SOCKET.IO]."
2026-04-05 11:56:54,OSINT + LEGAL,OSINT-LEGAL-CoreX,AWESOME-COURSES + PAPERS-WE-LOVE,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [AWESOME-COURSES] и [PAPERS-WE-LOVE].
2026-04-05 11:57:56,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,UBLOCK + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [UBLOCK] + [PAPERS-WE-LOVE].
2026-04-05 11:57:56,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,IMMICH + BITCOIN,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [IMMICH] + [BITCOIN]."
2026-04-05 11:57:56,OSINT + LEGAL,OSINT-LEGAL-CoreX,CRAWL4AI + 996.ICU,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CRAWL4AI] и [996.ICU].
2026-04-05 11:58:58,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,EXCALIDRAW + PAPERS-WE-LOVE,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [EXCALIDRAW] + [PAPERS-WE-LOVE].
2026-04-05 11:58:58,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,CLAUDE-CODE + BUILD-YOUR-OWN-X,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [CLAUDE-CODE] + [BUILD-YOUR-OWN-X]."
2026-04-05 11:58:58,OSINT + LEGAL,OSINT-LEGAL-CoreX,CRAWL4AI + YT-DLP,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [CRAWL4AI] и [YT-DLP].
2026-04-05 12:00:02,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,AWESOME-HACKING + UI-UX-PRO-MAX-SKILL,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [AWESOME-HACKING] + [UI-UX-PRO-MAX-SKILL].
2026-04-05 12:00:02,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,EXCALIDRAW + REALWORLD,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [EXCALIDRAW] + [REALWORLD]."
2026-04-05 12:00:02,OSINT + LEGAL,OSINT-LEGAL-CoreX,WHISPER + EXCALIDRAW,Судебный Радар. Автоматизирует сбор OSINT информации по цели и валидирует ее ценность как улики по протоколам комплаенса. Базируется на гибриде [WHISPER] и [EXCALIDRAW].
2026-04-05 12:01:04,PROGRAMMING + OSINT,PROGRAMMING-OSINT-CoreX,HUGO + AWESOME-CPP,Legal-DevOps Crawler. Сверхбыстрый парсер закрытых/открытых реестров для корпоративной разведки. Мультипоточная архитектура: [HUGO] + [AWESOME-CPP].
2026-04-05 12:01:04,PROGRAMMING + LEGAL,PROGRAMMING-LEGAL-CoreX,CS-VIDEO-COURSES + SYNCTHING,"Smart Contract & License Auditor. Сканер ИТ-инфраструктуры компаний, проверяющий нарушения лицензионной чистоты в коде (GPL, MIT). Построен на [CS-VIDEO-COURSES] + [SYNCTHING]."
